x,MODELO
,
Chevy ,CHEVY
no sabe,NO SABE
Tsuru ,TSURU
Sentra,SENTRA
spark,SPARK
ikon,IKON
sentra ,SENTRA
Explorer ,EXPLORER
acord,ACCORD
acord ,ACCORD
Jetta,JETTA
Aveo ,AVEO
No se,NO SABE
crv,CRV
2001,NO IDENTIFICADO
No sabe,NO SABE
corolla,COROLLA
sonoma,GMC SONOMA
fiesta,FIESTA
maxima,MAXIMA
Corolla ,COROLLA
A1,AUDI A1
lancer,LANCER
Chevy,CHEVY
sturu,TSURU
Ibiza,IBIZA
winstar,WINDSTAR
Yaris ,YARIS
Pac√≠fica ,PACIFICA
jetta,JETTA
HHR,CHEVROLET HHR
civic,CIVIC
Estaquita (cami√≥neta),ESTAQUITAS
cheroke,JEEP CHEROKEE
CRV,CRV
pointer,POINTER
mirage,MIRAGE
sedan,VOLKSWAGEN SED¡N
pt crucier,PT CRUISER
sentra,SENTRA
accord,ACCORD
f150,F-150
patfinder,PATHFINDER
March ,MARCH
lobo,LOBO
Pointer ,POINTER
spark ,SPARK
4 runer ,4 RUNNER
volare,VOLARE
shadow,SHADOW
Fiesta ,FIESTA
Fiesta,FIESTA
clio,CLÕO
tundra,TUNDRA
cherokee,JEEP CHEROKEE
Yaris,YARIS
Captiva,CAPTIVA
focus,FOCUS
pathender,PATHFINDER
cherokee ,JEEP CHEROKEE
no sabe ,NO SABE
mustang,MUSTANG
camioneta Ranger,RANGER
VerSa,VERSA
Civic ,CIVIC
Accord,ACCORD
Platina,PLATINA
figo,FIGO
Versa ,VERSA
Versa,VERSA
stepway,STEPWAY
s-10,CHEVROLET S10
Tsuru,TSURU
Astro,ASTRO VAN
spirit,SPIRIT
Ka,KA
Ques,NISSAN QUEST
edge,EDGE
Ranger ,RANGER
Focus,FOCUS
Cherokee ,JEEP CHEROKEE
ka,KA
Corola,COROLLA
Optra,OPTRA
Fiesta 2010,FIESTA
corrolla,COROLLA
Ranger,RANGER
escape,ESCAPE
Patriot,JEEP PATRIOT
isuzu,NO IDENTIFICADO
Spark,SPARK
Caliber,CALIBER
Gol ,GOL
ton country,TOWN AND COUNTRY
patriot,JEEP PATRIOT
Tidda,TIIDA
fiesta ,FIESTA
no recuerda ,NO SABE
nosaan,NO IDENTIFICADO
Tornado ,TORNADO
