x,AÑO
2005,2005
2012,2012
2013,2013
2008,2008
1998,1998
2010,2010
2014,2014
"no sabe , como por el 2009",2009
2009,2009
208,2008
1986,1986
2001,2001
89,1989
2015,2015
2003,2003
2006,2006
2011,2011
no sabe,NO SABE
2016,2016
1997,1997
2007,2007
95,1995
,
1999,1999
2000,2000
99,1999
92,1992
2004,2004
1993,1993
2008,2008
2002,2002
1996,1996
2000,2000
2003,2003
1999,1999
1991,1991
2017,2017
1994,1994
1990,1990
1988,1988
1984,1984
1975,1975
209,2009
no sabe ,NO SABE
2007,2007
1998,1998
No sabe ,NO SABE
No se ,NO SABE
96,1996
1989,1989
1974,1974
1980,1980
no recuerda,NO SABE
97,1997
1992,1992
1973,1973
1995,1995
1985,1985
1987,1987
94,1994
1983,1983
73,1973
20015,2015
2006,2006
no se,NO SABE
2005,2005
1978,1978
2001,2001
No se,NO SABE
No sabe,NO SABE
Monza,NO IDENTIFICADO
rodeo,NO IDENTIFICADO
no se ,NO SABE
NA,NA
