"","valores","atributos4"
"","0","la_que_tengo_se_descompone"
"v2","-0.745662695016668","para_circular_todos_los_d_as"
"v3","-0.015150936932916","para_no_gastar_tanto_en_refacc"
"v4","-1.6365390667165","para_demostrar__xito__prestigi"
"v5","-1.16129805844933","para_poder_salir_a_rodadas_con"
"v6","-0.333778783459277","la_que_tengo_est__vieja"
"v7","0.59068409529649","para_seguir_ahorrando_tiempo_e"
"v8","-0.01102609392053","quiero_una_de_mayor_cilindraje"
"v9","0.0256856595781322","quiero_una_de_mayor_calidad"
"v10","0.326828383924829","quiero_una_m_s_moderna_atracti"
"v11","-0.786875603115516","para_poder_salir_a_carretera"
"v12","-0.117616219965177","quiero_una_de_mejor_modelo_dis"
